(63, 1)
(63, 6)
(63, 5)
(63, 8)
(63, 7)
(63, 2)
(63, 9)
(63, 10)
(63, 11)
(63, 4)
(62, 11)
(62, 10)
(62, 4)
(62, 9)
(62, 8)
(63, 3)
(62, 6)
(62, 7)
(62, 3)
(62, 1)
(62, 2)
(62, 5)
(61, 10)
(61, 9)
(54, 1)
(54, 10)
(54, 2)
(54, 11)
(61, 11)
(54, 8)
(61, 8)
(54, 3)
(61, 7)
(54, 9)
(54, 7)
(61, 5)
(54, 4)
(54, 6)
(61, 6)
(54, 5)
(61, 3)
(61, 4)
(61, 2)
(61, 1)
(36, 1)
(60, 11)
(60, 9)
(60, 10)
(60, 8)
(60, 6)
(60, 4)
(60, 7)
(60, 5)
(60, 3)
(60, 2)
(41, 10)
(60, 1)
(57, 1)
(27, 4)
(58, 1)
(59, 11)
(59, 10)
(58, 2)
(58, 3)
(58, 4)
(27, 2)
(27, 3)
(27, 1)
(59, 7)
(59, 6)
