(10, 63)
(7, 23)
(5, 23)
(4, 23)
(3, 23)
(2, 23)
(1, 23)
(0, 23)
(10, 20)
(9, 20)
(8, 20)
(7, 20)
(6, 20)
(5, 20)
(4, 20)
(3, 20)
(2, 20)
(1, 20)
(0, 20)
(6, 23)
(8, 23)
(9, 19)
(9, 23)
(4, 25)
(3, 25)
(2, 25)
(1, 25)
(0, 25)
(10, 24)
(9, 24)
(8, 24)
(7, 24)
(6, 24)
(5, 24)
(4, 24)
(3, 24)
(2, 24)
(1, 24)
(0, 24)
(10, 23)
(10, 19)
(8, 19)
(7, 33)
(9, 17)
(7, 17)
(6, 17)
(5, 17)
(4, 17)
(3, 17)
(2, 17)
(1, 17)
(0, 17)
(10, 16)
(9, 16)
(8, 16)
(7, 16)
(6, 16)
(5, 16)
(4, 16)
(3, 16)
(2, 16)
(8, 17)
(10, 17)
(7, 19)
(0, 18)
(6, 19)
(5, 19)
(4, 19)
(3, 19)
