(1, 6)
(1, 1)
(1, 2)
(1, 4)
(1, 3)
(1, 5)
(1, 10)
(1, 7)
(1, 8)
(1, 11)
(1, 9)
(2, 11)
(2, 2)
(2, 3)
(2, 9)
(2, 5)
(2, 1)
(2, 7)
(2, 8)
(54, 2)
(2, 6)
(2, 4)
(2, 10)
(54, 1)
(3, 11)
(3, 10)
(3, 1)
(3, 8)
(4, 1)
(3, 3)
(3, 2)
(3, 9)
(3, 7)
(3, 4)
(3, 5)
(3, 6)
(7, 1)
(4, 2)
(4, 4)
(7, 2)
(4, 11)
(5, 1)
(54, 4)
(54, 3)
(4, 8)
(7, 3)
(4, 5)
(4, 3)
(4, 6)
(54, 8)
(6, 1)
(5, 2)
(6, 7)
(7, 4)
(4, 10)
(5, 10)
(6, 10)
(5, 11)
(54, 10)
(54, 7)
(5, 3)
(4, 9)
(54, 11)
(6, 3)
(4, 7)
(7, 11)
(7, 5)
(5, 4)
(5, 5)
