(54, 10)
(54, 11)
(54, 1)
(54, 2)
(27, 4)
(54, 3)
(54, 9)
(54, 7)
(54, 4)
(54, 8)
(27, 3)
(27, 2)
(54, 6)
(27, 1)
(54, 5)
(62, 11)
(62, 10)
(62, 9)
(62, 6)
(62, 8)
(63, 3)
(63, 8)
(63, 5)
(63, 6)
(63, 7)
(62, 7)
(63, 2)
(63, 4)
(62, 4)
(63, 9)
(63, 1)
(63, 10)
(62, 5)
(63, 11)
(62, 3)
(62, 2)
(62, 1)
(26, 8)
(21, 1)
(21, 3)
(21, 2)
(27, 8)
(21, 4)
(26, 9)
(27, 9)
(21, 5)
(21, 6)
(21, 7)
(21, 8)
(27, 10)
(22, 11)
(21, 10)
(8, 8)
(22, 9)
(22, 8)
(22, 10)
(21, 9)
(22, 6)
(21, 11)
(22, 7)
(22, 3)
(22, 4)
(22, 5)
(22, 2)
(22, 1)
(27, 11)
(1, 6)
(41, 10)
(27, 6)
(1, 5)
