(22, 11)
(22, 10)
(22, 9)
(22, 8)
(22, 7)
(22, 6)
(22, 4)
(22, 5)
(27, 4)
(22, 3)
(54, 10)
(22, 2)
(54, 11)
(27, 1)
(22, 1)
(27, 2)
(27, 3)
(54, 1)
(54, 2)
(54, 3)
(54, 4)
(12, 11)
(12, 10)
(54, 9)
(12, 9)
(54, 7)
(12, 8)
(54, 8)
(6, 1)
(12, 7)
(7, 8)
(54, 5)
(12, 5)
(54, 6)
(7, 4)
(7, 2)
(12, 6)
(12, 2)
(12, 4)
(6, 3)
(12, 3)
(29, 11)
(7, 5)
(12, 1)
(29, 9)
(29, 10)
(29, 6)
(29, 8)
(29, 7)
(29, 5)
(29, 2)
(29, 4)
(29, 3)
(6, 8)
(7, 9)
(6, 2)
(29, 1)
(7, 1)
(7, 3)
(6, 11)
(7, 10)
(7, 11)
(21, 1)
(7, 7)
(7, 6)
(6, 4)
(21, 3)
(21, 2)
(21, 11)
