(40, 10, 15)
(22, 1, 5)
(25, 4, 5)
(26, 5, 5)
(27, 6, 5)
(28, 7, 5)
(29, 8, 5)
(30, 9, 5)
(31, 10, 5)
(32, 0, 5)
(34, 2, 5)
(35, 3, 5)
(36, 4, 5)
(37, 5, 5)
(38, 6, 5)
(39, 7, 5)
(0, 9, 5)
(1, 10, 5)
(2, 0, 5)
(3, 1, 5)
(4, 2, 5)
(5, 3, 5)
(6, 4, 5)
(7, 5, 5)
(9, 7, 5)
(23, 2, 5)
(21, 0, 5)
(11, 9, 5)
(20, 10, 5)
(35, 6, 5)
(36, 7, 5)
(37, 8, 5)
(38, 9, 5)
(39, 10, 5)
(40, 0, 5)
(0, 1, 5)
(2, 3, 5)
(3, 4, 5)
(4, 5, 5)
(5, 6, 5)
(6, 7, 5)
(7, 8, 5)
(9, 10, 5)
(10, 0, 5)
(11, 1, 5)
(12, 2, 5)
(13, 3, 5)
(14, 4, 5)
(15, 5, 5)
(16, 6, 5)
(18, 8, 5)
(19, 9, 5)
(10, 8, 5)
(12, 10, 5)
(33, 4, 5)
(4, 10, 5)
(6, 1, 5)
(7, 2, 5)
(8, 3, 5)
(9, 4, 5)
(10, 5, 5)
(12, 7, 5)
(13, 8, 5)
(14, 9, 5)
(16, 0, 5)
(17, 1, 5)
(19, 3, 5)
(20, 4, 5)
(21, 5, 5)
(22, 6, 5)
(23, 7, 5)
(24, 8, 5)
(25, 9, 5)
(26, 10, 5)
(27, 0, 5)
(28, 1, 5)
(29, 2, 5)
(30, 3, 5)
(31, 4, 5)
(5, 0, 5)
(3, 9, 5)
(13, 0, 5)
(2, 8, 5)
(14, 1, 5)
(16, 3, 5)
(17, 4, 5)
(18, 5, 5)
(19, 6, 5)
(20, 7, 5)
(21, 8, 5)
(22, 9, 5)
(23, 10, 5)
(25, 1, 5)
(26, 2, 5)
(27, 3, 5)
(28, 4, 5)
(29, 5, 5)
(30, 6, 5)
(33, 9, 5)
(34, 10, 5)
(35, 0, 5)
(37, 2, 5)
(38, 3, 5)
(39, 4, 5)
(0, 6, 5)
(1, 7, 5)
(34, 5, 5)
(32, 3, 5)
(9, 0, 5)
(16, 4, 5)
(20, 8, 5)
(24, 1, 5)
(25, 2, 5)
(26, 3, 5)
(29, 6, 5)
(30, 7, 5)
(31, 8, 5)
(32, 9, 5)
(33, 10, 5)
(36, 2, 5)
(40, 6, 5)
(0, 7, 5)
(1, 8, 5)
(4, 0, 5)
(5, 1, 5)
(6, 2, 5)
(7, 3, 5)
(8, 4, 5)
(9, 5, 5)
(10, 6, 5)
(11, 7, 5)
(12, 8, 5)
(13, 9, 5)
(17, 5, 5)
(15, 3, 5)
(15, 0, 5)
(14, 2, 5)
(13, 4, 5)
(17, 8, 5)
(18, 9, 5)
(19, 10, 5)
(22, 2, 5)
(23, 3, 5)
(24, 4, 5)
(25, 5, 5)
(26, 6, 5)
(29, 9, 5)
(33, 2, 5)
(34, 3, 5)
(35, 4, 5)
(38, 7, 5)
(39, 8, 5)
(40, 9, 5)
(0, 10, 5)
(1, 0, 5)
(4, 3, 5)
(8, 7, 5)
(9, 8, 5)
(10, 9, 5)
(13, 1, 5)
(14, 10, 5)
(16, 1, 5)
(31, 2, 5)
(4, 8, 5)
(6, 10, 5)
(7, 0, 5)
(8, 1, 5)
(9, 2, 5)
(11, 4, 5)
(12, 5, 5)
(13, 6, 5)
(14, 7, 5)
(15, 8, 5)
(16, 9, 5)
(17, 10, 5)
(18, 0, 5)
(19, 1, 5)
(20, 2, 5)
(21, 3, 5)
(22, 4, 5)
(23, 5, 5)
(24, 6, 5)
(25, 7, 5)
(27, 9, 5)
(28, 10, 5)
(29, 0, 5)
(30, 1, 5)
(5, 9, 5)
(3, 7, 5)
(17, 2, 5)
(2, 6, 5)
(18, 3, 5)
(20, 5, 5)
(21, 6, 5)
(22, 7, 5)
(23, 8, 5)
(24, 9, 5)
(25, 10, 5)
(26, 0, 5)
(27, 1, 5)
(28, 2, 5)
(29, 3, 5)
(30, 4, 5)
(31, 5, 5)
(32, 6, 5)
(33, 7, 5)
(34, 8, 5)
(36, 10, 5)
(37, 0, 5)
(38, 1, 5)
(39, 2, 5)
(40, 3, 5)
(0, 4, 5)
(1, 5, 5)
(32, 5, 5)
(33, 6, 5)
(35, 8, 5)
(17, 0, 6)
(19, 2, 6)
(20, 3, 6)
(21, 4, 6)
(22, 5, 6)
(25, 8, 6)
(26, 9, 6)
(27, 10, 6)
(28, 0, 6)
(29, 1, 6)
(30, 2, 6)
(31, 3, 6)
(32, 4, 6)
(33, 5, 6)
(34, 6, 6)
(35, 7, 6)
(36, 8, 6)
(37, 9, 6)
(38, 10, 6)
(39, 0, 6)
(40, 1, 6)
(0, 2, 6)
(1, 3, 6)
(2, 4, 6)
(18, 1, 6)
(16, 10, 6)
(4, 6, 6)
(15, 9, 6)
(28, 3, 6)
(29, 4, 6)
(31, 6, 6)
(33, 8, 6)
(34, 9, 6)
(35, 10, 6)
(36, 0, 6)
(37, 1, 6)
(38, 2, 6)
(40, 4, 6)
(0, 5, 6)
(1, 6, 6)
(2, 7, 6)
(3, 8, 6)
(4, 9, 6)
(5, 10, 6)
(6, 0, 6)
(9, 3, 6)
(10, 4, 6)
(11, 5, 6)
(12, 6, 6)
(13, 7, 6)
(14, 8, 6)
(3, 5, 6)
(5, 7, 6)
(36, 9, 5)
(34, 3, 6)
(36, 5, 6)
(37, 6, 6)
(38, 7, 6)
(39, 8, 6)
(40, 9, 6)
(0, 10, 6)
(1, 0, 6)
(2, 1, 6)
(3, 2, 6)
(4, 3, 6)
(5, 4, 6)
(6, 5, 6)
(7, 6, 6)
(8, 7, 6)
(9, 8, 6)
(10, 9, 6)
(11, 10, 6)
(12, 0, 6)
(13, 1, 6)
(14, 2, 6)
(15, 3, 6)
(16, 4, 6)
(17, 5, 6)
(35, 4, 6)
(33, 2, 6)
(6, 8, 6)
(32, 1, 6)
(7, 9, 6)
(8, 10, 6)
(9, 0, 6)
(10, 1, 6)
(11, 2, 6)
(14, 5, 6)
(15, 6, 6)
(16, 7, 6)
(17, 8, 6)
(18, 9, 6)
(19, 10, 6)
(20, 0, 6)
(21, 1, 6)
(22, 2, 6)
(23, 3, 6)
(24, 4, 6)
(25, 5, 6)
(26, 6, 6)
(27, 7, 6)
(28, 8, 6)
(29, 9, 6)
(30, 10, 6)
(31, 0, 6)
(27, 2, 6)
(26, 1, 6)
(25, 0, 6)
(22, 3, 5)
(24, 5, 5)
(26, 7, 5)
(27, 8, 5)
(28, 9, 5)
(29, 10, 5)
(30, 0, 5)
(31, 1, 5)
(32, 2, 5)
(33, 3, 5)
(34, 4, 5)
(35, 5, 5)
(36, 6, 5)
(37, 7, 5)
(38, 8, 5)
(39, 9, 5)
(40, 10, 5)
(1, 1, 6)
(2, 2, 6)
(3, 3, 6)
(4, 4, 6)
(5, 5, 6)
(6, 6, 6)
(7, 7, 6)
(23, 4, 5)
(21, 2, 5)
(24, 10, 6)
(20, 1, 5)
(37, 10, 5)
(38, 0, 5)
(39, 1, 5)
(40, 2, 5)
(0, 3, 5)
(1, 4, 5)
(2, 5, 5)
(3, 6, 5)
(4, 7, 5)
(5, 8, 5)
(6, 9, 5)
(7, 10, 5)
(8, 0, 5)
(10, 2, 5)
(11, 3, 5)
(12, 4, 5)
(13, 5, 5)
(14, 6, 5)
(15, 7, 5)
(16, 8, 5)
(17, 9, 5)
(18, 10, 5)
(19, 0, 5)
(8, 8, 6)
(9, 9, 6)
(10, 10, 6)
(11, 0, 6)
(40, 7, 6)
(0, 8, 6)
(1, 9, 6)
(2, 10, 6)
(3, 0, 6)
(4, 1, 6)
(5, 2, 6)
(6, 3, 6)
(8, 5, 6)
(9, 6, 6)
(10, 7, 6)
(11, 8, 6)
(12, 9, 6)
(13, 10, 6)
(14, 0, 6)
(15, 1, 6)
(16, 2, 6)
(17, 3, 6)
(18, 4, 6)
(19, 5, 6)
(20, 6, 6)
(21, 7, 6)
(22, 8, 6)
(39, 6, 6)
(38, 5, 6)
(37, 4, 6)
(23, 1, 6)
(12, 1, 6)
(13, 2, 6)
(14, 3, 6)
(15, 4, 6)
(17, 6, 6)
(18, 7, 6)
(19, 8, 6)
(20, 9, 6)
(21, 10, 6)
(22, 0, 6)
(24, 2, 6)
(36, 3, 6)
(25, 3, 6)
(26, 4, 6)
(27, 5, 6)
(28, 6, 6)
(29, 7, 6)
(30, 8, 6)
(31, 9, 6)
(33, 0, 6)
(34, 1, 6)
(35, 2, 6)
(10, 1, 5)
(8, 10, 5)
(39, 8, 8)
(30, 4, 4)
(32, 6, 4)
(34, 8, 4)
(35, 9, 4)
(36, 10, 4)
(37, 0, 4)
(38, 1, 4)
(39, 2, 4)
(40, 3, 4)
(0, 4, 4)
(1, 5, 4)
(2, 6, 4)
(3, 7, 4)
(4, 8, 4)
(5, 9, 4)
(6, 10, 4)
(7, 0, 4)
(9, 2, 4)
(10, 3, 4)
(11, 4, 4)
(12, 5, 4)
(13, 6, 4)
(14, 7, 4)
(15, 8, 4)
(31, 5, 4)
(29, 3, 4)
(17, 10, 4)
(28, 2, 4)
(4, 0, 4)
(5, 1, 4)
(6, 2, 4)
(7, 3, 4)
(8, 4, 4)
(9, 5, 4)
(10, 6, 4)
(11, 7, 4)
(12, 8, 4)
(13, 9, 4)
(14, 10, 4)
(15, 0, 4)
(16, 1, 4)
(18, 3, 4)
(19, 4, 4)
(20, 5, 4)
(21, 6, 4)
(22, 7, 4)
(23, 8, 4)
(24, 9, 4)
(25, 10, 4)
(26, 0, 4)
(27, 1, 4)
(16, 9, 4)
(18, 0, 4)
(2, 9, 4)
(9, 10, 4)
(11, 1, 4)
(12, 2, 4)
(13, 3, 4)
(14, 4, 4)
(15, 5, 4)
(17, 7, 4)
(18, 8, 4)
(20, 10, 4)
(21, 0, 4)
(22, 1, 4)
(23, 2, 4)
(24, 3, 4)
(25, 4, 4)
(26, 5, 4)
(27, 6, 4)
(28, 7, 4)
(29, 8, 4)
(30, 9, 4)
(31, 10, 4)
(32, 0, 4)
(34, 2, 4)
(35, 3, 4)
(36, 4, 4)
(10, 0, 4)
(8, 9, 4)
(19, 1, 4)
(7, 8, 4)
(20, 2, 4)
(21, 3, 4)
(22, 4, 4)
(25, 7, 4)
(26, 8, 4)
(27, 9, 4)
(29, 0, 4)
(30, 1, 4)
(31, 2, 4)
(32, 3, 4)
(33, 4, 4)
(34, 5, 4)
(35, 6, 4)
(36, 7, 4)
(37, 8, 4)
(38, 9, 4)
(39, 10, 4)
(40, 0, 4)
(1, 2, 4)
(2, 3, 4)
(4, 5, 4)
(5, 6, 4)
(6, 7, 4)
(3, 10, 4)
(0, 7, 4)
(7, 9, 5)
(35, 7, 4)
(37, 9, 4)
(38, 10, 4)
(39, 0, 4)
(40, 1, 4)
(0, 2, 4)
(1, 3, 4)
(2, 4, 4)
(3, 5, 4)
(4, 6, 4)
(5, 7, 4)
(6, 8, 4)
(7, 9, 4)
(8, 10, 4)
(9, 0, 4)
(10, 1, 4)
(11, 2, 4)
(12, 3, 4)
(13, 4, 4)
(14, 5, 4)
(16, 7, 4)
(17, 8, 4)
(20, 0, 4)
(21, 1, 4)
(36, 8, 4)
(34, 6, 4)
(23, 3, 4)
(33, 5, 4)
(10, 4, 4)
(11, 5, 4)
(12, 6, 4)
(13, 7, 4)
(14, 8, 4)
(15, 9, 4)
(16, 10, 4)
(17, 0, 4)
(18, 1, 4)
(19, 2, 4)
(20, 3, 4)
(21, 4, 4)
(22, 5, 4)
(23, 6, 4)
(24, 7, 4)
(25, 8, 4)
(26, 9, 4)
(27, 10, 4)
(28, 0, 4)
(29, 1, 4)
(30, 2, 4)
(31, 3, 4)
(32, 4, 4)
(22, 2, 4)
(24, 4, 4)
(40, 6, 4)
(13, 1, 4)
(15, 3, 4)
(16, 4, 4)
(17, 5, 4)
(18, 6, 4)
(19, 7, 4)
(20, 8, 4)
(21, 9, 4)
(22, 10, 4)
(23, 0, 4)
(24, 1, 4)
(27, 4, 4)
(28, 5, 4)
(29, 6, 4)
(30, 7, 4)
(31, 8, 4)
(32, 9, 4)
(33, 10, 4)
(34, 0, 4)
(35, 1, 4)
(36, 2, 4)
(37, 3, 4)
(38, 4, 4)
(39, 5, 4)
(14, 2, 4)
(12, 0, 4)
(25, 5, 4)
(11, 10, 4)
(26, 6, 4)
(27, 7, 4)
(28, 8, 4)
(29, 9, 4)
(30, 10, 4)
(31, 0, 4)
(32, 1, 4)
(33, 2, 4)
(36, 5, 4)
(37, 6, 4)
(38, 7, 4)
(39, 8, 4)
(40, 9, 4)
(0, 10, 4)
(1, 0, 4)
(2, 1, 4)
(3, 2, 4)
(4, 3, 4)
(5, 4, 4)
(6, 5, 4)
(7, 6, 4)
(8, 7, 4)
(10, 9, 4)
(37, 5, 4)
(38, 6, 4)
(39, 7, 4)
(9, 9, 5)
(11, 0, 5)
(12, 1, 5)
(13, 2, 5)
(14, 3, 5)
(15, 4, 5)
(16, 5, 5)
(17, 6, 5)
(18, 7, 5)
(19, 8, 5)
(20, 9, 5)
(21, 10, 5)
(22, 0, 5)
(23, 1, 5)
(24, 2, 5)
(25, 3, 5)
(26, 4, 5)
(27, 5, 5)
(28, 6, 5)
(29, 7, 5)
(30, 8, 5)
(31, 9, 5)
(32, 10, 5)
(33, 0, 5)
(10, 10, 5)
(8, 8, 5)
(35, 2, 5)
(7, 7, 5)
(25, 6, 4)
(26, 7, 4)
(27, 8, 4)
(28, 9, 4)
(29, 10, 4)
(30, 0, 4)
(31, 1, 4)
(32, 2, 4)
(33, 3, 4)
(34, 4, 4)
(35, 5, 4)
(36, 6, 4)
(37, 7, 4)
(38, 8, 4)
(39, 9, 4)
(40, 10, 4)
(0, 0, 5)
(1, 1, 5)
(2, 2, 5)
(3, 3, 5)
(4, 4, 5)
(5, 5, 5)
(6, 6, 5)
(34, 1, 5)
(40, 7, 5)
(40, 8, 4)
(0, 5, 5)
(3, 8, 5)
(5, 10, 5)
(6, 0, 5)
(10, 4, 5)
(11, 5, 5)
(12, 6, 5)
(15, 9, 5)
(16, 10, 5)
(17, 0, 5)
(18, 1, 5)
(19, 2, 5)
(22, 5, 5)
(26, 9, 5)
(27, 10, 5)
(31, 3, 5)
(32, 4, 5)
(33, 5, 5)
(34, 6, 5)
