(13, 6, 5)
(27, 5, 2)
(26, 4, 2)
(36, 3, 12)
(42, 7, 12)
(41, 7, 12)
(37, 3, 12)
(30, 7, 12)
(34, 1, 12)
(39, 5, 12)
(35, 1, 12)
(32, 9, 12)
(31, 9, 12)
(38, 5, 12)
(33, 11, 12)
(19, 1, 4)
(21, 10, 2)
(19, 10, 5)
(6, 7, 2)
(29, 7, 2)
(19, 9, 12)
(18, 7, 12)
(21, 11, 12)
(26, 5, 12)
(27, 5, 12)
(25, 3, 12)
(24, 3, 12)
(20, 9, 12)
(17, 8, 5)
(29, 7, 12)
(22, 1, 12)
(23, 1, 12)
(12, 5, 5)
(23, 2, 4)
(23, 4, 5)
(22, 3, 5)
(13, 10, 4)
(25, 3, 2)
(22, 1, 2)
(17, 7, 12)
(25, 2, 4)
(21, 10, 5)
(11, 1, 12)
(15, 5, 12)
(14, 5, 12)
(9, 11, 12)
(8, 9, 12)
(10, 1, 12)
(22, 1, 4)
(12, 3, 12)
(21, 2, 5)
(6, 7, 12)
(13, 3, 12)
(7, 9, 12)
(29, 6, 4)
(21, 10, 4)
(20, 1, 5)
(19, 8, 2)
(18, 9, 5)
(26, 3, 4)
(11, 6, 4)
(36, 7, 7)
(33, 7, 12)
(30, 5, 12)
(34, 7, 12)
(35, 7, 7)
(36, 9, 12)
(37, 11, 12)
(33, 5, 7)
(31, 5, 12)
(31, 3, 7)
(38, 1, 12)
(35, 9, 12)
(32, 5, 7)
(40, 3, 12)
(29, 1, 7)
(30, 3, 7)
(22, 1, 5)
(27, 11, 7)
(39, 1, 12)
(28, 5, 4)
(27, 4, 4)
(26, 9, 7)
(28, 1, 7)
(25, 9, 7)
(3, 5, 2)
(41, 3, 12)
(23, 7, 7)
(21, 5, 7)
(25, 6, 4)
(24, 7, 7)
(18, 3, 7)
(29, 10, 4)
(28, 9, 4)
(16, 1, 7)
(20, 5, 7)
(19, 3, 7)
(17, 10, 4)
(14, 9, 7)
(26, 7, 4)
(29, 3, 4)
(28, 2, 4)
(17, 1, 7)
(23, 1, 5)
(15, 11, 7)
(27, 1, 12)
(13, 9, 7)
(2, 5, 2)
(28, 3, 12)
(22, 10, 5)
(29, 3, 12)
(26, 1, 12)
(27, 8, 4)
(19, 7, 5)
(27, 1, 4)
(23, 2, 5)
(25, 11, 12)
(16, 6, 5)
(21, 9, 5)
(21, 7, 12)
(24, 9, 12)
(20, 8, 5)
(23, 9, 12)
(18, 6, 5)
(18, 5, 12)
(13, 3, 5)
(19, 5, 12)
(15, 5, 5)
(22, 7, 12)
(12, 2, 5)
(20, 9, 4)
(14, 4, 5)
(24, 1, 4)
(5, 7, 12)
(16, 7, 5)
(26, 10, 4)
(25, 8, 4)
(2, 5, 12)
(20, 10, 2)
(3, 5, 12)
(18, 1, 4)
(1, 3, 12)
(12, 9, 4)
(30, 8, 2)
(0, 3, 12)
(19, 6, 5)
(26, 9, 4)
(24, 7, 4)
(27, 10, 4)
(41, 1, 11)
(17, 6, 5)
(0, 2, 2)
(14, 1, 4)
(25, 9, 4)
(39, 11, 11)
(6, 7, 8)
(10, 9, 7)
(40, 1, 11)
(3, 5, 8)
(20, 9, 5)
(40, 9, 4)
(20, 7, 5)
(41, 10, 4)
(28, 1, 4)
(5, 7, 8)
(21, 8, 4)
(38, 9, 11)
(29, 2, 4)
(23, 10, 4)
(2, 5, 8)
(14, 7, 4)
(13, 6, 4)
(15, 3, 5)
(37, 9, 11)
(36, 7, 11)
(15, 6, 5)
(21, 8, 5)
(3, 9, 7)
(12, 1, 5)
(24, 7, 8)
(2, 8, 7)
(23, 5, 8)
(1, 3, 8)
(0, 3, 8)
(40, 9, 8)
(20, 6, 4)
(41, 1, 7)
(9, 5, 7)
(7, 7, 7)
(22, 9, 4)
(12, 7, 7)
(15, 2, 4)
(16, 4, 5)
(7, 3, 7)
(1, 7, 7)
(13, 1, 5)
(5, 1, 7)
(6, 1, 7)
(18, 6, 5)
(4, 3, 1)
(8, 3, 7)
(8, 7, 1)
(4, 3, 6)
(6, 5, 1)
(4, 10, 7)
(17, 6, 5)
(10, 5, 7)
(30, 7, 4)
(17, 1, 8)
(20, 7, 4)
(41, 11, 8)
(40, 1, 7)
(1, 1, 1)
(13, 4, 5)
(15, 6, 5)
(39, 9, 8)
(39, 11, 7)
(20, 3, 8)
(14, 2, 5)
(5, 4, 1)
(19, 3, 8)
(15, 8, 4)
(12, 10, 1)
(4, 5, 7)
(8, 9, 7)
(18, 7, 5)
(17, 5, 5)
(18, 1, 8)
(12, 3, 5)
(6, 7, 7)
(10, 8, 1)
(37, 9, 7)
(37, 7, 8)
(14, 5, 5)
(17, 4, 4)
(26, 9, 8)
(38, 7, 8)
(19, 8, 5)
(10, 5, 8)
(20, 6, 5)
(35, 5, 8)
(29, 6, 4)
(38, 9, 7)
(2, 1, 1)
(11, 11, 7)
(23, 6, 4)
(5, 4, 6)
(3, 2, 1)
(10, 3, 9)
(11, 10, 1)
(0, 5, 9)
(20, 3, 4)
(15, 9, 8)
(34, 5, 8)
(24, 3, 2)
(10, 11, 7)
(21, 4, 4)
(9, 8, 1)
(4, 7, 9)
(17, 3, 12)
(9, 1, 9)
(6, 9, 9)
(7, 11, 9)
(11, 3, 9)
(33, 5, 11)
(8, 1, 5)
(1, 5, 9)
(30, 3, 11)
(8, 1, 9)
(16, 9, 4)
(35, 7, 11)
(2, 4, 7)
(7, 10, 5)
(5, 9, 9)
(10, 3, 5)
(32, 5, 11)
(3, 6, 5)
(1, 6, 5)
(6, 7, 12)
(3, 5, 7)
(4, 7, 5)
(18, 5, 4)
(2, 1, 6)
(3, 2, 6)
(23, 5, 9)
(29, 7, 4)
(38, 3, 12)
(6, 9, 5)
(5, 8, 5)
(16, 3, 4)
(29, 1, 11)
(28, 1, 11)
(15, 4, 5)
(41, 4, 6)
(31, 3, 11)
(16, 3, 12)
(0, 5, 5)
(29, 8, 5)
(14, 1, 12)
(33, 2, 5)
(21, 7, 5)
(32, 7, 12)
(34, 3, 5)
(36, 1, 12)
(27, 11, 11)
(3, 7, 9)
(21, 3, 9)
(3, 5, 12)
(14, 7, 9)
(20, 3, 9)
(15, 9, 9)
(33, 9, 12)
(0, 1, 12)
(15, 1, 12)
(37, 1, 12)
(18, 1, 9)
(9, 2, 5)
(11, 1, 7)
(25, 4, 4)
(27, 6, 4)
(4, 5, 12)
(42, 7, 6)
(1, 3, 12)
(26, 9, 11)
(2, 3, 12)
(39, 3, 12)
(22, 6, 5)
(1, 4, 2)
(35, 11, 12)
(19, 2, 4)
(34, 9, 12)
(31, 7, 12)
(21, 6, 4)
(23, 7, 4)
(40, 5, 12)
(32, 3, 8)
(17, 11, 9)
(41, 5, 12)
(19, 1, 9)
(1, 3, 7)
(22, 5, 9)
(11, 4, 5)
(33, 3, 8)
(13, 7, 9)
(16, 9, 9)
(25, 9, 11)
(40, 11, 11)
(13, 11, 12)
(13, 9, 5)
(22, 9, 5)
(26, 5, 4)
(41, 1, 11)
(12, 7, 11)
(37, 7, 11)
